id,y_true,y_pred,absolute_error
1736290394.108803,310.0,254.21618464810825,55.78381535189175
1736290404.125797,90.0,136.93198963427244,46.93198963427244
1736290414.141186,241.0,191.89112987172945,49.10887012827055
1736290424.158246,92.0,123.47449269104541,31.474492691045413
1736290434.175884,96.0,86.33044134124418,9.669558658755818
1736290444.192875,141.0,154.60020867217975,13.600208672179747
1736290454.210123,262.0,160.41741938199718,101.58258061800282
1736290464.226567,48.0,192.59955487492223,144.59955487492223
1736290474.250546,196.0,164.1638609596704,31.836139040329613
1736290484.268411,103.0,129.83194068571228,26.831940685712283
1736290494.285343,281.0,235.18181769259917,45.81818230740083
1736290504.301463,167.0,184.0685612435638,17.068561243563806
1736290514.319565,186.0,199.01864200988092,13.01864200988092
1736290524.345653,276.0,157.87622023133642,118.12377976866358
1736290534.366376,69.0,111.54550875990512,42.54550875990512
1736290544.385457,85.0,58.37882693745456,26.621173062545438
